Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,3,0
C_10.txt,14,32,12,52198.7,10,0
C_11.txt,14,32,17,49414.2,76,0
C_12.txt,14,32,18,521978.0,25,0
C_13.txt,17,35,21,6305.93,61,0
C_14.txt,17,35,17,32481.5,52,0
C_15.txt,17,35,21,14475.4,46,0
C_16.txt,17,35,15,54801.7,14,0
C_17.txt,17,35,16,57808.5,31,0
C_18.txt,17,35,16,585133.0,36,0
C_2.txt,11,13,7,10123.7,5,0
C_3.txt,11,13,4,790.26,2,0
C_4.txt,11,13,5,12268.1,2,0
C_5.txt,11,13,8,27251.6,7,0
C_6.txt,11,13,4,62559.7,1,0
C_7.txt,14,32,19,6300.0,61,0
C_8.txt,14,32,15,37444.5,31,0
C_9.txt,14,32,14,7636.87,16,0
E_1.txt,7,12,12,2574.37,16,0
E_10.txt,10,18,18,119000.0,96,0
E_11.txt,10,18,18,57945.7,24,0
E_12.txt,10,18,18,534140.0,53,0
E_13.txt,20,32,32,17727.9,82,0
E_14.txt,20,32,32,111341.0,100,0
E_15.txt,20,32,32,41532.2,104,0
E_16.txt,20,32,32,305038.0,135,0
E_17.txt,20,32,32,187777.0,193,0
E_18.txt,20,32,32,1719600.0,168,0
E_2.txt,7,12,12,15599.1,12,0
E_3.txt,7,12,12,4616.5,10,0
E_4.txt,7,12,12,29314.9,10,0
E_5.txt,7,12,12,25636.6,10,0
E_6.txt,7,12,12,279873.0,16,0
E_7.txt,10,18,18,4760.13,23,0
E_8.txt,10,18,18,38997.7,45,0
E_9.txt,10,18,18,8909.54,23,0
H_1.txt,6,11,6,967.267,3,0
H_10.txt,10,30,16,55610.9,47,0
H_11.txt,11,35,16,10355.8,35,0
H_12.txt,11,35,8,35451.5,6,0
H_13.txt,12,40,26,16631.4,73,0
H_14.txt,12,40,21,162754.0,54,0
H_15.txt,14,48,23,20506.3,176,0
H_16.txt,14,48,24,242041.0,141,0
H_17.txt,18,22,13,7042.8,22,0
H_18.txt,18,22,13,73902.0,14,0
H_19.txt,21,26,15,10159.8,21,0
H_2.txt,6,11,3,2948.41,1,0
H_20.txt,21,26,13,77509.3,12,0
H_21.txt,24,30,17,21089.5,62,0
H_22.txt,24,30,16,110261.0,35,0
H_23.txt,27,33,15,17317.1,16,0
H_24.txt,27,33,14,94977.6,19,0
